proposed_id,source_path,recommended_destination_path,artifact_class,standards_body,precheck_ast,precheck_sha256,notes
planned-code-061,<USER_HOME>/Documents/Git_Offline/active/9.LABS_5G_lab_simulator/BF3-5G-Demo/open-digital-platform-2_0/5G_Emulator_API/core_network/amf.py,services/mock_5g_core/core_network/amf.py,mock_source_code_intake,3GPP 5GC AMF,AST_OK,795e5580ac3a6dd36b738d6d4e755fad6e597bb0602c1f7a1381f1605a07cac1,Primary access/session control mock core function requested by user.
planned-code-062,<USER_HOME>/Documents/Git_Offline/active/9.LABS_5G_lab_simulator/BF3-5G-Demo/open-digital-platform-2_0/5G_Emulator_API/core_network/smf.py,services/mock_5g_core/core_network/smf.py,mock_source_code_intake,3GPP 5GC SMF,AST_OK,e20ad8403cb6d7f9ea860fed08892e8bdddee83ddabd30af1dc946eb3c206ae7,Primary session management mock core function requested by user.
planned-code-063,<USER_HOME>/Documents/Git_Offline/active/9.LABS_5G_lab_simulator/BF3-5G-Demo/open-digital-platform-2_0/5G_Emulator_API/core_network/udr.py,services/mock_5g_core/core_network/udr.py,mock_source_code_intake,3GPP 5GC UDR,AST_OK,1963cb235ae35bf09fb293496d1bb902b572b0d4a08d431b4fce82bf59796044,Subscriber data repository mock core function requested by user.
planned-code-064,<USER_HOME>/Documents/Git_Offline/active/9.LABS_5G_lab_simulator/BF3-5G-Demo/open-digital-platform-2_0/5G_Emulator_API/core_network/nssf.py,services/mock_5g_core/core_network/nssf.py,mock_source_code_intake,3GPP 5GC slicing/NSSF,AST_OK,87ba797bcd03f05bde0ae206c1ea81d3cbf62a7aa115081112e79bd8e2fac39e,Network slice selection mock core function requested by user.
planned-code-065,<USER_HOME>/Documents/Git_Offline/active/9.LABS_5G_lab_simulator/BF3-5G-Demo/open-digital-platform-2_0/5G_Emulator_API/config/__init__.py,services/mock_5g_core/config/__init__.py,mock_source_code_intake,runtime support,AST_OK,b3ebdc87b5d7b6d1f1ea621f8856913d78b1b14147494b05dca8a25e0504820e,Required because core functions import `config` package.
planned-code-066,<USER_HOME>/Documents/Git_Offline/active/9.LABS_5G_lab_simulator/BF3-5G-Demo/open-digital-platform-2_0/5G_Emulator_API/config/ports.py,services/mock_5g_core/config/ports.py,mock_source_code_intake,runtime support,AST_OK,514462af50044fa8225e9f3dcf3bb6775aec1a725db65b558ebec876b331f147,Required because several services import `config.ports`.
planned-code-067,<USER_HOME>/Documents/Git_Offline/active/9.LABS_5G_lab_simulator/BF3-5G-Demo/open-digital-platform-2_0/5G_Emulator_API/core_network/transport.py,services/mock_5g_core/core_network/transport.py,mock_source_code_intake,3GPP N4/PFCP transport support,AST_OK,df4ad22df35200caf66f0056cf3d42fab3afb9bc75a40199acbee7f291742695,Required by core network services using shared transport helpers.
planned-code-068,<USER_HOME>/Documents/Git_Offline/active/9.LABS_5G_lab_simulator/BF3-5G-Demo/open-digital-platform-2_0/5G_Emulator_API/ran/gnb.py,adapters/mock_ran/ran/gnb.py,mock_source_code_intake,3GPP RAN / O-RAN adjacency,AST_OK,e477b3b353365a330efb0e4ba81230c87e4e0c979dc2391bc52293853e4cad51,Primary RAN simulator entrypoint.
planned-code-069,<USER_HOME>/Documents/Git_Offline/active/9.LABS_5G_lab_simulator/BF3-5G-Demo/open-digital-platform-2_0/5G_Emulator_API/ran/cu.py,adapters/mock_ran/ran/cu.py,mock_source_code_intake,3GPP RAN CU / O-RAN split adjacency,AST_OK,4d63d259397afe1e5eeef83fbccdc01ea7832be791ae9a9ee9959ab50519271c,Central Unit simulator entrypoint.
planned-code-070,<USER_HOME>/Documents/Git_Offline/active/9.LABS_5G_lab_simulator/BF3-5G-Demo/open-digital-platform-2_0/5G_Emulator_API/ran/du.py,adapters/mock_ran/ran/du.py,mock_source_code_intake,3GPP RAN DU / O-RAN split adjacency,AST_OK,d3f8619c3b5ce05ad6ec5b59a6d8f9143b1845c6803218d1a5f78342dda1b275,Distributed Unit simulator entrypoint.
